m/z,I,S/N,Res.
348.10888,3.3577,53.48,2201067
348.11698,1.367,21.6,1806662
348.12011,4.2364,67.55,2275251
348.12821,1.0959,17.26,1902141
348.14527,2.728,43.4,2276313
348.15337,1.9162,30.4,2324319
348.15649,1.7103,27.1,2096842
348.18165,0.744,11.63,2307852
348.18977,0.7878,12.33,2282985
348.2214,0.5398,8.36,1924935
348.75491,1.5452,24.46,2423046
348.77261,0.815,12.76,2380496
349.05651,0.6317,9.83,1906985
349.06774,0.7637,11.94,2253732
349.0929,5.1768,82.61,2156065
349.10413,7.4405,118.86,2173073
349.11223,0.5518,8.55,1374829
349.11537,0.5727,8.88,1896267
349.12347,0.6647,10.36,1897510
349.12928,14.8649,237.75,2184542
349.14052,6.1382,98,2169532
349.16567,8.6799,138.7,2146748
349.1769,0.585,9.08,2332194
349.20206,1.1153,17.57,2345085
349.22913,0.4875,7.52,1634089
349.24183,0.521,8.05,1858846
350.08815,2.8238,44.93,2154128
350.09625,0.9156,14.37,2266119
350.09938,2.9227,46.51,2084830
350.10748,1.4505,22.94,2154275
350.12453,4.5416,72.44,2114594
350.13263,2.5749,40.94,2148423
350.13576,3.6641,58.39,2166262
350.14387,1.0337,16.26,2025866
350.16092,2.1058,33.43,2151297
350.16902,1.6294,25.8,2332576
350.42942,0.456,7.01,1025933
350.43273,0.5749,8.92,1643400
350.43357,0.5009,7.73,1051773
350.43535,0.5537,8.58,1385690
350.4366,0.6959,10.86,1786424
350.43747,0.517,7.99,2468431
350.43861,0.4914,7.58,2444214
350.43972,0.9646,15.16,1388043
350.44101,0.5094,7.87,1969514
350.44159,0.4791,7.38,1367897
350.44258,0.6443,10.03,2601788
350.4489,0.4936,7.62,858995
350.45764,0.4799,7.4,1753892
350.45823,0.5213,8.06,1491188
350.46492,0.8033,12.57,984171
350.4662,0.4639,7.14,1898016
350.46673,0.4602,7.08,1691172
350.46727,0.4627,7.12,2647453
350.46887,0.6144,9.55,2036449
350.46939,0.6381,9.93,894849
350.47091,0.7625,11.92,740289
350.47165,0.5143,7.95,1898884
350.47202,0.7199,11.24,830745
350.47274,0.5756,8.93,2404804
350.47339,0.4772,7.35,2144525
350.47363,0.4893,7.55,895254
350.47478,0.5002,7.72,1760473
350.47904,0.5891,9.15,1129664
350.47966,0.6659,10.37,2042785
350.4803,0.6027,9.36,2159367
350.48066,0.4961,7.66,2317452
350.48144,0.6208,9.65,1926825
350.48187,0.5103,7.88,1484409
350.48508,0.6609,10.29,1884155
350.48618,0.547,8.47,1967039
350.48863,0.5185,8.02,843425
350.49111,0.5812,9.02,1466404
350.85094,0.5519,8.55,2636053
351.07216,2.7534,43.8,2031687
351.08339,4.6288,73.83,2167578
351.0915,0.6123,9.52,2348898
351.10273,0.478,7.37,1366292
351.10854,15.0625,240.91,2155809
351.11978,12.0983,193.44,2233827
351.1216,0.4761,7.34,1249338
351.12789,1.2029,18.97,1953692
351.13911,0.6458,10.05,2163756
351.14493,20.044,320.68,2194759
351.15617,3.0979,49.32,2194960
351.18132,5.1122,81.57,2103103
351.22107,5.8372,93.18,2119565
352.0674,1.3417,21.2,2047068
352.0755,0.8014,12.55,1764165
352.08675,0.8413,13.18,1925250
352.10379,6.3442,101.3,2165260
352.1119,2.7013,42.97,2207711
352.11503,3.7952,60.49,2256701
352.12313,2.1973,34.9,2146986
352.14018,4.9397,78.81,2172702
352.14828,3.9489,62.95,2251729
352.15141,1.6037,25.39,2099753
352.15951,0.5936,9.22,1503932
352.17656,0.8796,13.8,2445423
352.18467,1.0014,15.75,2560439
352.22443,1.1928,18.81,2325758
352.8489,1.0503,16.53,2287484
352.85822,1.1789,18.59,2030183
353.05146,0.9016,14.15,2290221
353.06267,0.5714,8.86,2378334
353.08783,9.2762,148.25,2294813
353.09907,9.0396,144.47,2309324
353.10717,1.1612,18.31,2225833
